timestamp,is_touching
1630680348672,1
1630680348813,1
1630680348907,1
1630680349000,1
1630680349063,1
1630680349172,1
1630680349265,1
1630680349424,1
1630680349502,1
1630680349627,1
1630680349689,1
1630680349783,1
1630680349893,1
1630680350033,1
1630680350158,1
1630680350221,1
1630680350330,1
1630680350392,1
1630680350536,1
1630680350614,1
1630680350724,1
1630680350817,1
1630680350911,1
1630680351005,1
1630680351114,1
1630680351255,1
1630680351348,1
1630680351442,1
1630680351539,1
1630680351601,1
1630680351742,1
1630680351882,1
1630680351929,1
1630680352039,1
1630680352148,1
1630680352242,1
1630680352351,1
1630680352476,1
1630680352572,1
1630680352650,1
1630680352744,1
1630680352837,1
1630680352931,1
1630680353072,1
1630680353181,1
1630680353228,1
1630680353384,1
1630680353431,1
1630680353525,1
1630680353667,1
1630680353777,1
1630680353886,1
1630680353977,1
1630680354071,1
1630680354149,1
1630680354305,1
1630680354414,1
1630680354477,1
1630680354571,1
1630680354682,1
1630680354776,1
1630680354901,1
1630680354995,1
1630680355104,1
1630680355214,1
1630680355276,1
1630680355385,1
1630680355509,1
1630680355603,1
1630680355715,1
1630680355777,1
1630680355871,1
1630680355980,1
1630680356105,1
1630680356199,1
1630680356308,1
1630680356419,1
1630680356513,1
1630680356576,1
1630680356747,1
1630680356810,1
1630680356904,1
1630680356997,1
1630680357091,1
1630680357232,1
1630680357336,1
1630680357416,1
1630680357522,1
1630680357614,1
1630680357722,1
1630680357786,1
1630680357956,1
1630680358019,1
1630680358129,1
1630680358221,1
1630680358329,1
1630680358420,1
1630680358530,1
1630680358640,1
1630680358733,1
1630680358843,1
1630680358937,1
1630680359079,1
1630680359172,1
1630680359282,1
1630680359376,1
1630680359464,1
1630680359542,1
1630680359636,1
1630680359779,1
1630680359878,1
1630680359987,1
1630680360065,1
1630680360128,1
1630680360222,1
1630680360394,1
1630680360487,1
1630680360593,1
1630680360671,1
1630680360749,1
1630680360835,1
1630680360993,1
1630680361087,1
1630680361211,1
1630680361273,1
1630680361364,1
1630680361459,1
1630680361618,1
1630680361680,1
1630680361805,1
1630680361868,1
1630680361976,1
1630680362084,1
1630680362213,1
1630680362308,1
1630680362416,1
1630680362479,1
1630680362590,1
1630680362668,1
1630680362824,1
1630680362968,1
1630680362998,1
1630680363092,1
1630680363200,1
1630680363274,1
1630680363434,1
