timestamp,TP9,AF7,AF8,TP10
1630679877549,1.0,1.0,1.0,1.0
1630679877642,1.0,1.0,1.0,1.0
1630679877768,1.0,1.0,1.0,1.0
1630679877815,1.0,1.0,1.0,1.0
1630679877910,1.0,1.0,1.0,1.0
1630679878017,1.0,1.0,1.0,1.0
1630679878180,1.0,1.0,1.0,1.0
1630679878242,1.0,1.0,1.0,1.0
1630679878334,1.0,1.0,1.0,1.0
1630679878426,1.0,1.0,1.0,1.0
1630679878536,1.0,1.0,1.0,1.0
1630679878646,1.0,1.0,1.0,1.0
1630679878773,1.0,1.0,1.0,1.0
1630679878885,1.0,1.0,1.0,1.0
1630679878949,1.0,1.0,1.0,1.0
1630679879055,1.0,1.0,1.0,1.0
1630679879150,1.0,1.0,1.0,1.0
1630679879213,1.0,1.0,1.0,1.0
1630679879353,1.0,1.0,1.0,1.0
1630679879497,1.0,1.0,1.0,1.0
1630679879560,2.0,1.0,1.0,2.0
1630679879653,2.0,1.0,1.0,2.0
1630679879749,2.0,1.0,1.0,2.0
1630679879844,2.0,1.0,1.0,2.0
1630679880033,2.0,1.0,1.0,2.0
1630679880064,2.0,1.0,1.0,2.0
1630679880172,2.0,1.0,1.0,2.0
1630679880280,2.0,1.0,1.0,2.0
1630679880388,2.0,1.0,1.0,2.0
1630679880423,2.0,1.0,1.0,2.0
1630679880566,2.0,1.0,1.0,2.0
1630679880660,2.0,1.0,1.0,2.0
1630679880799,2.0,1.0,1.0,2.0
1630679880833,2.0,1.0,1.0,2.0
1630679881073,2.0,1.0,1.0,2.0
1630679881119,2.0,1.0,1.0,2.0
1630679881216,2.0,1.0,1.0,2.0
1630679881313,2.0,1.0,1.0,2.0
1630679881406,2.0,1.0,1.0,2.0
1630679881505,2.0,1.0,1.0,2.0
1630679881580,2.0,1.0,1.0,2.0
1630679881646,2.0,1.0,1.0,2.0
1630679881821,2.0,1.0,1.0,2.0
1630679881886,2.0,1.0,1.0,2.0
1630679881982,2.0,1.0,1.0,2.0
1630679882142,2.0,1.0,1.0,2.0
1630679882172,2.0,1.0,1.0,2.0
1630679882316,2.0,1.0,1.0,2.0
1630679882456,2.0,1.0,1.0,2.0
1630679882473,2.0,1.0,1.0,2.0
1630679882602,2.0,1.0,1.0,2.0
1630679882678,2.0,1.0,1.0,2.0
1630679882806,2.0,1.0,1.0,2.0
1630679882918,1.0,1.0,1.0,1.0
1630679883028,1.0,1.0,1.0,1.0
1630679883121,1.0,1.0,1.0,1.0
